user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,Cluster,Cluster_Label
1,2023-04-15,Premium,699,1.1,4,1,8,14,1,2,Medium
2,2023-08-27,Premium,699,2.6,6,0,35,1,1,1,Loyal
3,2023-10-12,Premium,699,14.3,8,3,2,14,1,2,Medium
4,2023-12-11,Basic,199,17.6,5,2,11,9,1,2,Medium
5,2023-02-14,Basic,199,9.8,5,2,6,38,1,2,Medium
6,2024-10-05,Premium,699,13.6,6,0,30,35,1,1,Loyal
7,2023-10-24,Premium,699,14.6,1,0,24,42,1,0,At-Risk
8,2024-01-09,Basic,199,21.7,6,2,15,29,1,2,Medium
9,2023-03-15,Basic,199,9.2,4,5,24,59,1,0,At-Risk
10,2024-10-17,Premium,699,13.6,3,1,11,29,0,2,Medium
11,2023-11-20,Premium,699,5.9,5,0,36,14,0,1,Loyal
12,2024-10-20,Standard,399,2.1,5,1,18,41,1,0,At-Risk
13,2024-08-21,Standard,399,7.0,3,5,10,35,1,2,Medium
14,2023-02-18,Standard,399,9.4,2,4,26,31,1,0,At-Risk
15,2024-09-02,Basic,199,15.9,6,4,10,4,1,2,Medium
16,2024-11-29,Standard,399,6.7,8,0,34,43,0,1,Loyal
17,2024-04-09,Premium,699,19.3,5,0,18,18,0,2,Medium
18,2024-10-02,Basic,199,24.3,2,4,17,58,1,0,At-Risk
19,2024-06-27,Standard,399,15.4,2,2,33,48,1,0,At-Risk
20,2023-11-11,Basic,199,12.5,1,2,21,56,0,0,At-Risk
21,2023-03-12,Basic,199,6.4,1,0,4,46,0,0,At-Risk
22,2024-09-13,Premium,699,3.6,7,4,9,10,1,2,Medium
23,2024-11-18,Standard,399,23.3,3,5,14,19,0,2,Medium
24,2023-03-07,Premium,699,11.2,8,3,24,7,1,1,Loyal
25,2024-12-25,Standard,399,14.9,3,4,2,14,1,2,Medium
26,2023-10-13,Premium,699,6.1,0,2,4,4,0,2,Medium
27,2024-08-13,Premium,699,5.7,2,5,32,59,0,0,At-Risk
28,2024-03-17,Standard,399,19.7,6,1,16,6,1,2,Medium
29,2023-04-11,Standard,399,10.6,0,5,28,41,0,0,At-Risk
30,2024-04-04,Basic,199,18.3,1,1,26,12,0,1,Loyal
31,2024-03-29,Basic,199,5.0,7,1,28,55,0,0,At-Risk
32,2023-08-31,Premium,699,1.7,8,0,7,5,0,2,Medium
33,2024-01-24,Basic,199,12.4,3,3,27,57,1,0,At-Risk
34,2024-07-23,Basic,199,7.0,7,2,25,27,1,1,Loyal
35,2024-07-09,Premium,699,4.3,4,1,32,3,0,1,Loyal
36,2023-06-11,Basic,199,1.9,7,4,21,58,1,0,At-Risk
37,2023-08-29,Basic,199,2.5,2,0,33,38,1,0,At-Risk
38,2023-03-25,Standard,399,23.6,3,4,8,38,1,2,Medium
39,2023-09-02,Standard,399,8.3,4,1,34,42,0,0,At-Risk
40,2023-03-16,Standard,399,3.7,4,3,26,20,0,1,Loyal
41,2023-09-29,Basic,199,15.7,1,0,30,34,1,0,At-Risk
42,2024-07-10,Basic,199,22.1,3,2,23,18,1,1,Loyal
43,2023-11-03,Premium,699,15.5,8,0,20,42,0,2,Medium
44,2024-07-20,Premium,699,23.5,2,2,7,7,0,2,Medium
45,2024-10-11,Basic,199,7.4,3,5,18,21,1,1,Loyal
46,2023-10-11,Standard,399,12.5,0,0,33,40,0,0,At-Risk
47,2024-03-28,Basic,199,8.7,2,5,1,16,1,2,Medium
48,2023-06-02,Premium,699,14.2,1,0,28,60,0,0,At-Risk
49,2023-11-12,Premium,699,20.9,8,1,3,27,1,2,Medium
50,2023-12-29,Standard,399,22.5,3,5,3,15,0,2,Medium
51,2023-07-01,Premium,699,24.4,2,1,27,55,1,0,At-Risk
